# Color	Start Time	End Time	Duration
# hh mm
# hh mm	dd/mon/yyyy	hh mm	dd/mon/yyyy
Red	15:45	07/Sep/2001	20:30	07/Sep/2001	04 45
Amber	06:00	23/Mar/2002	11:30	23/Mar/2002	05 30
Amber	06:45	10/May/2002	07:45	10/May/2002	01 00
Amber	04:20	11/May/2002	06:00	11/May/2002	01 40
Amber	20:40	20/May/2002	00:10	21/May/2002	03 30
Amber	21:50	22/May/2002	01:20	23/May/2002	03 30
Amber	06:25	11/Jun/2002	12:15	11/Jun/2002	05 50
Amber	02:20	17/Jul/2002	04:30	17/Jul/2002	02 10
Amber	06:55	17/Jul/2002	08:40	17/Jul/2002	01 45
Amber	12:55	29/Jul/2002	13:55	29/Jul/2002	01 00
Amber	06:10	06/Aug/2002	11:35	06/Aug/2002	05 25
Amber	07:20	09/Aug/2002	11:15	09/Aug/2002	03 55
Amber	14:35	09/Aug/2002	17:55	09/Aug/2002	03 20
Amber	04:35	10/Aug/2002	06:50	10/Aug/2002	02 15
Amber	11:30	10/Aug/2002	13:30	10/Aug/2002	02 00
Amber	21:10	14/Sep/2002	03:30	15/Sep/2002	06 20
Red	03:30	15/Sep/2002	06:15	15/Sep/2002	02 45
Amber	06:15	15/Sep/2002	09:55	15/Sep/2002	03 40
Amber	23:30	16/Sep/2002	04:30	17/Sep/2002	05 00
Amber	18:05	17/Sep/2002	21:00	17/Sep/2002	02 55
Amber	09:57	18/Oct/2002	10:35	18/Oct/2002	00 38
Red	10:35	18/Oct/2002	13:20	18/Oct/2002	02 45
Amber	04:20	21/Oct/2002	07:10	21/Oct/2002	02 50
Amber	20:40	08/Apr/2003	00:30	09/Apr/2003	03 50
Amber	18:55	04/May/2003	20:20	04/May/2003	01 25
Amber	01:45	05/May/2003	04:45	05/May/2003	03 00
Red	04:45	05/May/2003	14:10	05/May/2003	09 25
Amber	14:10	05/May/2003	15:20	05/May/2003	01 10
Amber	22:20	05/May/2003	23:30	05/May/2003	01 10
Amber	05:05	18/May/2003	06:20	18/May/2003	01 15
Amber	09:05	09/Jun/2003	16:30	09/Jun/2003	07 25
Amber	08:45	10/Jun/2003	10:40	10/Jun/2003	01 55
Amber	20:20	10/Jun/2003	22:05	10/Jun/2003	01 45
Amber	23:30	10/Jun/2003	14:20	11/Jun/2003	14 50
Amber	16:10	13/Jun/2003	18:10	13/Jun/2003	02 00
Amber	09:00	14/Jun/2003	10:45	14/Jun/2003	01 45
Amber	19:15	04/Aug/2003	23:00	04/Aug/2003	03 45
Amber	01:25	17/Aug/2003	05:00	17/Aug/2003	03 35
Amber	03:00	22/Aug/2003	05:00	22/Aug/2003	02 00
Amber	04:20	24/Aug/2003	05:30	24/Aug/2003	01 10
Amber	21:05	02/Sep/2003	05:00	03/Sep/2003	07 55
Amber	23:05	30/Mar/2004	00:45	31/Mar/2004	01 40
Amber	03:35	14/Apr/2004	07:25	14/Apr/2004	03 50
Amber	17:55	17/Apr/2004	19:35	17/Apr/2004	01 40
Amber	06:40	27/Apr/2004	07:55	27/Apr/2004	01 15
Amber	04:10	08/May/2004	06:40	08/May/2004	02 30
Red	06:40	08/May/2004	07:20	08/May/2004	00 40
Black	07:20	08/May/2004	08:00	08/May/2004	00 40
Red	08:00	08/May/2004	10:15	08/May/2004	02 15
Amber	10:15	08/May/2004	11:00	08/May/2004	00 45
Amber	09:55	14/May/2004	11:30	14/May/2004	01 35
Amber	17:00	16/Jul/2004	18:50	16/Jul/2004	01 50
Amber	02:20	17/Jul/2004	03:30	17/Jul/2004	01 10
Amber	09:55	21/Jul/2004	10:35	21/Jul/2004	00 40
Amber	02:40	29/Jul/2004	10:45	29/Jul/2004	08 05
Amber	04:50	06/Aug/2004	08:45	06/Aug/2004	03 55
Amber	06:36	14/Aug/2004	07:20	14/Aug/2004	00 44
Amber	06:14	29/Aug/2004	11:55	29/Aug/2004	05 41
Amber	14:40	29/Aug/2004	16:15	29/Aug/2004	01 35
Amber	20:25	21/Sep/2004	21:30	21/Sep/2004	01 05
Amber	10:35	08/May/2005	14:00	08/May/2005	03 25
Amber	12:10	09/May/2005	14:20	09/May/2005	02 10
Amber	02:35	10/May/2005	05:00	10/May/2005	02 25
Amber	11:15	10/May/2005	12:30	10/May/2005	01 15
Amber	22:50	18/May/2005	00:30	19/May/2005	01 40
Amber	19:30	20/May/2005	22:00	20/May/2005	02 30
Amber	18:35	27/May/2005	20:35	27/May/2005	02 00
Amber	16:00	15/Jun/2005	23:15	15/Jun/2005	07 15
Amber	09:10	21/Jun/2005	14:40	21/Jun/2005	05 30
Amber	01:30	24/Jun/2005	10:00	24/Jun/2005	08 30
Red	10:00	24/Jun/2005	13:30	24/Jun/2005	03 30
Amber	02:05	19/Jul/2005	03:15	19/Jul/2005	01 10
Amber	23:00	20/Jul/2005	01:35	21/Jul/2005	02 35
Amber	11:40	13/Aug/2005	13:15	13/Aug/2005	01 35
Amber	20:45	13/Aug/2005	00:20	14/Aug/2005	03 35
Amber	19:25	19/Aug/2005	00:55	20/Aug/2005	05 30
Amber	08:35	20/Aug/2005	21:10	20/Aug/2005	12 35
Amber	01:15	24/Apr/2006	01:40	24/Apr/2006	00 25
Red	01:40	24/Apr/2006	02:30	24/Apr/2006	00 50
Black	02:30	24/Apr/2006	04:30	24/Apr/2006	02 00
Red	04:30	24/Apr/2006	05:30	24/Apr/2006	01 00
Amber	05:30	24/Apr/2006	07:45	24/Apr/2006	02 15
Amber	04:40	28/Apr/2006	10:15	28/Apr/2006	05 35
Amber	21:10	02/May/2006	21:55	02/May/2006	00 45
Red	21:55	02/May/2006	03:45	03/May/2006	05 50
Amber	03:45	03/May/2006	07:10	03/May/2006	03 25
Amber	10:35	02/Jun/2006	10:55	02/Jun/2006	00 20
Red	10:55	02/Jun/2006	14:45	02/Jun/2006	03 50
Amber	14:45	02/Jun/2006	15:30	02/Jun/2006	00 45
Amber	02:00	09/Jun/2006	03:00	09/Jun/2006	01 00
Amber	10:25	09/Jun/2006	10:55	09/Jun/2006	00 30
Red	10:55	09/Jun/2006	11:15	09/Jun/2006	00 20
Black	11:15	09/Jun/2006	13:30	09/Jun/2006	02 15
Red	13:30	09/Jun/2006	14:20	09/Jun/2006	00 50
Amber	14:20	09/Jun/2006	15:20	09/Jun/2006	01 00
Amber	20:40	09/Jun/2006	22:30	09/Jun/2006	01 50
Amber	03:35	13/Jun/2006	04:15	13/Jun/2006	00 40
Red	04:15	13/Jun/2006	05:35	13/Jun/2006	01 20
Amber	09:00	08/Jul/2006	11:10	08/Jul/2006	02 10
Amber	02:10	16/Jul/2006	02:35	16/Jul/2006	00 25
Red	02:35	16/Jul/2006	02:50	16/Jul/2006	00 15
Black	02:50	16/Jul/2006	05:00	16/Jul/2006	02 10
Red	05:00	16/Jul/2006	05:45	16/Jul/2006	00 45
Amber	05:45	16/Jul/2006	07:45	16/Jul/2006	02 00
Amber	05:25	27/Jul/2006	09:20	27/Jul/2006	03 55
Amber	03:25	28/Jul/2006	10:00	28/Jul/2006	06 35
Amber	00:10	10/Aug/2006	01:40	10/Aug/2006	01 30
Amber	00:20	19/Aug/2006	01:40	19/Aug/2006	01 20
Amber	13:05	09/Sep/2006	13:45	09/Sep/2006	00 40
Red	13:45	09/Sep/2006	15:30	09/Sep/2006	01 45
Amber	15:30	09/Sep/2006	16:15	09/Sep/2006	00 45
Amber	07:50	13/Sep/2006	09:30	13/Sep/2006	01 40
Red	09:30	13/Sep/2006	12:15	13/Sep/2006	02 45
Amber	12:15	13/Sep/2006	13:45	13/Sep/2006	01 30
Amber	17:40	13/Sep/2006	23:15	13/Sep/2006	05 35
Amber	15:30	21/Nov/2006	20:25	21/Nov/2006	04 55
Amber	10:15	24/Apr/2007	10:40	24/Apr/2007	00 25
Red	10:40	24/Apr/2007	12:30	24/Apr/2007	01 50
Amber	12:30	24/Apr/2007	13:20	24/Apr/2007	00 50
Amber	16:30	19/May/2007	18:30	19/May/2007	02 00
Amber	07:10	20/May/2007	11:55	20/May/2007	04 45
Amber	04:35	27/May/2007	05:35	27/May/2007	01 00
Amber	14:45	27/May/2007	16:00	27/May/2007	01 15
Amber	02:45	10/Jun/2007	03:25	10/Jun/2007	00 40
Red	03:25	10/Jun/2007	04:55	10/Jun/2007	01 30
Amber	04:55	10/Jun/2007	08:30	10/Jun/2007	03 35
Amber	09:00	28/Jun/2007	10:30	28/Jun/2007	01 30
Amber	05:40	29/Jun/2007	06:25	29/Jun/2007	00 45
Amber	03:55	06/Aug/2007	05:30	06/Aug/2007	01 35
Amber	10:00	22/Aug/2007	11:00	22/Aug/2007	01 00
Amber	16:40	19/Apr/2008	17:10	19/Apr/2008	00 30
Red	17:10	19/Apr/2008	19:15	19/Apr/2008	02 05
Black	19:15	19/Apr/2008	21:30	19/Apr/2008	02 15
Amber	09:05	29/May/2008	11:40	29/May/2008	02 35
Amber	18:35	03/Jun/2008	20:10	03/Jun/2008	01 35
Amber	13:20	06/Jun/2008	16:10	06/Jun/2008	02 50
Amber	05:15	07/Jun/2008	05:55	07/Jun/2008	00 40
Red	05:55	07/Jun/2008	06:40	07/Jun/2008	00 45
Black	06:40	07/Jun/2008	11:00	07/Jun/2008	04 20
Red	11:00	07/Jun/2008	11:30	07/Jun/2008	00 30
Amber	11:30	07/Jun/2008	13:30	07/Jun/2008	02 00
Amber	21:40	13/Jun/2008	22:15	13/Jun/2008	00 35
Red	22:15	13/Jun/2008	02:50	14/Jun/2008	04 35
Amber	02:50	14/Jun/2008	04:10	14/Jun/2008	01 20
Amber	05:15	25/Jun/2008	06:00	25/Jun/2008	00 45
Red	06:00	25/Jun/2008	10:10	25/Jun/2008	04 10
Amber	10:10	25/Jun/2008	12:20	25/Jun/2008	02 10
Amber	08:30	26/Jun/2008	08:50	26/Jun/2008	00 20
Red	08:50	26/Jun/2008	10:00	26/Jun/2008	01 10
Amber	17:35	06/Jul/2008	19:20	06/Jul/2008	01 45
Amber	09:15	08/Jul/2008	10:45	08/Jul/2008	01 30
Amber	06:35	10/Jul/2008	11:15	10/Jul/2008	04 40
Amber	02:15	12/Jul/2008	03:00	12/Jul/2008	00 45
Red	03:00	12/Jul/2008	07:10	12/Jul/2008	04 10
Amber	07:10	12/Jul/2008	07:45	12/Jul/2008	00 35
Amber	23:25	14/Jul/2008	01:30	15/Jul/2008	02 05
Amber	07:15	08/Aug/2008	09:05	08/Aug/2008	01 50
Amber	11:05	24/Sep/2008	16:20	24/Sep/2008	05 15
Amber	08:50	05/Oct/2008	11:30	05/Oct/2008	02 40
Amber	18:15	05/Oct/2008	20:40	05/Oct/2008	02 25
Amber	14:00	05/Mar/2009	15:00	05/Mar/2009	01 00
Amber	16:10	05/Mar/2009	17:10	05/Mar/2009	01 00
Amber	08:20	24/Mar/2009	09:30	24/Mar/2009	01 10
Amber	02:05	16/Apr/2009	03:25	16/Apr/2009	01 20
Amber	10:20	25/Apr/2009	12:40	25/Apr/2009	02 20
Amber	05:50	21/May/2009	08:30	21/May/2009	02 40
Amber	16:45	23/May/2009	19:00	23/May/2009	02 15
Amber	13:05	24/May/2009	15:00	24/May/2009	01 55
Amber	00:20	04/Jun/2009	01:10	04/Jun/2009	00 50
Red	01:10	04/Jun/2009	02:10	04/Jun/2009	01 00
Amber	02:10	04/Jun/2009	03:35	04/Jun/2009	01 25
Amber	06:15	11/Jun/2009	08:40	11/Jun/2009	02 25
Amber	10:25	12/Jun/2009	11:45	12/Jun/2009	01 20
Amber	01:05	06/Jul/2009	04:20	06/Jul/2009	03 15
Amber	01:45	19/Jul/2009	02:25	19/Jul/2009	00 40
Red	02:25	19/Jul/2009	05:30	19/Jul/2009	03 05
Amber	20:40	05/Aug/2009	23:00	05/Aug/2009	02 20
Amber	07:10	11/Aug/2009	08:15	11/Aug/2009	01 05
Amber	19:15	13/Sep/2009	20:30	13/Sep/2009	01 15
Amber	03:55	15/Sep/2009	10:20	15/Sep/2009	06 25
Amber	17:55	15/Sep/2009	19:45	15/Sep/2009	01 50
Amber	17:20	30/Sep/2009	20:00	30/Sep/2009	02 40
Amber	06:35	07/May/2010	08:25	07/May/2010	01 50
Amber	15:35	19/May/2010	18:10	19/May/2010	02 35
Amber	05:10	10/Jun/2010	06:25	10/Jun/2010	01 15
Amber	03:58	26/Jun/2010	05:30	26/Jun/2010	01 32
Amber	12:50	27/Jun/2010	13:55	27/Jun/2010	01 05
Amber	12:45	28/Jun/2010	14:50	28/Jun/2010	02 05
Amber	16:35	22/Jul/2010	17:20	22/Jul/2010	00 45
Red	17:20	22/Jul/2010	17:30	22/Jul/2010	00 10
Black	17:30	22/Jul/2010	19:50	22/Jul/2010	02 20
Amber	19:50	22/Jul/2010	21:00	22/Jul/2010	01 10
Amber	14:30	28/Jul/2010	15:15	28/Jul/2010	00 45
Red	15:15	28/Jul/2010	15:35	28/Jul/2010	00 20
Black	15:35	28/Jul/2010	17:00	28/Jul/2010	01 25
Red	17:00	28/Jul/2010	18:10	28/Jul/2010	01 10
Amber	18:45	05/Aug/2010	19:05	05/Aug/2010	00 20
Red	19:05	05/Aug/2010	20:05	05/Aug/2010	01 00
Amber	14:15	28/Aug/2010	15:50	28/Aug/2010	01 35
Amber	07:25	05/Sep/2010	08:25	05/Sep/2010	01 00
Amber	00:10	09/Sep/2010	00:40	09/Sep/2010	00 30
Red	00:40	09/Sep/2010	01:45	09/Sep/2010	01 05
Amber	22:10	10/Sep/2010	23:25	10/Sep/2010	01 15
Red	23:25	10/Sep/2010	00:40	11/Sep/2010	01 15
Amber	20:05	20/Sep/2010	21:50	20/Sep/2010	01 45
Amber	01:55	21/Sep/2010	02:40	21/Sep/2010	00 45
Red	02:40	21/Sep/2010	04:55	21/Sep/2010	02 15
Amber	04:55	21/Sep/2010	05:25	21/Sep/2010	00 30
Amber	15:55	17/Apr/2011	17:00	17/Apr/2011	01 05
Amber	05:30	13/May/2011	08:00	13/May/2011	02 30
Amber	10:45	22/May/2011	11:10	22/May/2011	00 25
Red	11:10	22/May/2011	14:45	22/May/2011	03 35
Amber	20:45	22/May/2011	21:55	22/May/2011	01 10
Red	21:55	22/May/2011	23:25	22/May/2011	01 30
Amber	23:25	22/May/2011	00:25	23/May/2011	01 00
Amber	17:50	11/Jun/2011	20:05	11/Jun/2011	02 15
Amber	06:15	12/Jun/2011	09:20	12/Jun/2011	03 05
Amber	08:45	16/Jun/2011	11:45	16/Jun/2011	03 00
Amber	02:50	17/Jun/2011	04:00	17/Jun/2011	01 10
Amber	14:25	28/Jun/2011	16:05	28/Jun/2011	01 40
Amber	13:35	29/Jun/2011	15:20	29/Jun/2011	01 45
Amber	00:30	16/Jul/2011	02:50	16/Jul/2011	02 20
