# Intensity	Name	Signal	Start Time	End Time	Duration
# hh mm
# hh mm	dd/mon/yyyy	hh mm	dd/mon/yyyy
Severe Tropical Storm	PABUK	8 SW	14:30	10/Aug/2007	21:40	10/Aug/2007	07 10
Severe Tropical Storm	PABUK	3	21:40	10/Aug/2007	01:40	11/Aug/2007	04 00
Severe Tropical Storm	PABUK	1	01:40	11/Aug/2007	08:30	11/Aug/2007	06 50
Tropical Storm	FRANCISCO	1	02:40	23/Sep/2007	11:15	24/Sep/2007	32 35
Typhoon	NEOGURI	1	16:15	17/Apr/2008	20:40	18/Apr/2008	28 25
Typhoon	NEOGURI	3	20:40	18/Apr/2008	01:30	20/Apr/2008	28 50
Typhoon (Severe Typhoon)	FENGSHEN	1	07:40	23/Jun/2008	16:40	24/Jun/2008	33 00
Typhoon (Severe Typhoon)	FENGSHEN	3	16:40	24/Jun/2008	22:45	24/Jun/2008	06 05
Typhoon (Severe Typhoon)	FENGSHEN	8 NE	22:45	24/Jun/2008	00:45	25/Jun/2008	02 00
Typhoon (Severe Typhoon)	FENGSHEN	8 NW	00:45	25/Jun/2008	05:45	25/Jun/2008	05 00
Typhoon (Severe Typhoon)	FENGSHEN	8 SW	05:45	25/Jun/2008	11:15	25/Jun/2008	05 30
Typhoon (Severe Typhoon)	FENGSHEN	3	11:15	25/Jun/2008	22:15	25/Jun/2008	11 00
Severe Tropical Storm	KAMMURI	1	10:15	04/Aug/2008	19:15	05/Aug/2008	33 00
Severe Tropical Storm	KAMMURI	3	19:15	05/Aug/2008	05:40	06/Aug/2008	10 25
Severe Tropical Storm	KAMMURI	8 NE	05:40	06/Aug/2008	08:40	06/Aug/2008	03 00
Severe Tropical Storm	KAMMURI	8 SE	08:40	06/Aug/2008	17:15	06/Aug/2008	08 35
Severe Tropical Storm	KAMMURI	3	17:15	06/Aug/2008	04:15	07/Aug/2008	11 00
Severe Tropical Storm	KAMMURI	1	04:15	07/Aug/2008	07:15	07/Aug/2008	03 00
Typhoon	NURI	1	18:15	20/Aug/2008	20:40	21/Aug/2008	26 25
Typhoon	NURI	3	20:40	21/Aug/2008	07:40	22/Aug/2008	11 00
Typhoon	NURI	8 NW	07:40	22/Aug/2008	13:40	22/Aug/2008	06 00
Typhoon	NURI	9	13:40	22/Aug/2008	00:40	23/Aug/2008	11 00
Typhoon	NURI	8 SW	00:40	23/Aug/2008	02:40	23/Aug/2008	02 00
Typhoon	NURI	3	02:40	23/Aug/2008	09:40	23/Aug/2008	07 00
Typhoon	NURI	1	09:40	23/Aug/2008	11:15	23/Aug/2008	01 35
Typhoon (Severe Typhoon)	HAGUPIT	1	18:40	22/Sep/2008	10:25	23/Sep/2008	15 45
Typhoon (Severe Typhoon)	HAGUPIT	3	10:25	23/Sep/2008	18:00	23/Sep/2008	07 35
